fecha,precio,weekday,weekday_bol
1995-07-20,1.4094347826086957,3,0
1995-07-21,4.924333333333334,4,0
1995-07-22,1.2695000000000003,5,1
1995-07-23,0.9530833333333332,6,1
1995-07-24,4.305916666666667,0,0
1995-07-25,1.1491666666666664,1,0
1995-07-26,1.1086250000000002,2,0
1995-07-27,0.5859583333333334,3,0
1995-07-28,0.4997916666666667,4,0
1995-07-29,0.9276666666666668,5,1
1995-07-30,0.6694583333333334,6,1
1995-07-31,0.6794583333333334,0,0
1995-08-01,1.1069166666666668,1,0
1995-08-02,1.0775000000000003,2,0
1995-08-03,1.517916666666667,3,0
1995-08-04,1.7860416666666667,4,0
1995-08-05,2.3837916666666668,5,1
1995-08-06,2.387583333333334,6,1
1995-08-07,3.707208333333334,0,0
1995-08-08,6.650000000000001,1,0
1995-08-09,13.991958333333336,2,0
1995-08-10,20.041666666666668,3,0
1995-08-11,21.191666666666663,4,0
1995-08-12,30.71075,5,1
1995-08-13,34.327833333333324,6,1
1995-08-14,33.19025,0,0
1995-08-15,14.51325,1,0
1995-08-16,8.664333333333333,2,0
1995-08-17,1.81325,3,0
1995-08-18,1.9416666666666669,4,0
1995-08-19,1.1018333333333337,5,1
1995-08-20,2.0680416666666672,6,1
1995-08-21,1.4167499999999995,0,0
1995-08-22,0.8993333333333334,1,0
1995-08-23,1.2360833333333336,2,0
1995-08-24,1.4047499999999995,3,0
1995-08-25,1.545958333333333,4,0
1995-08-26,1.1338333333333337,5,1
1995-08-27,1.0745416666666665,6,1
1995-08-28,1.4641666666666666,0,0
1995-08-29,1.803958333333333,1,0
1995-08-30,1.8085833333333337,2,0
1995-08-31,1.7189166666666666,3,0
1995-09-01,1.7589583333333334,4,0
1995-09-02,3.3833333333333333,5,1
1995-09-03,2.245833333333333,6,1
1995-09-04,10.1685,0,0
1995-09-05,12.104166666666666,1,0
1995-09-06,15.25,2,0
1995-09-07,15.208333333333334,3,0
1995-09-08,15.391666666666666,4,0
1995-09-09,14.970833333333331,5,1
1995-09-10,14.933333333333332,6,1
1995-09-11,15.0515,0,0
1995-09-12,11.726833333333332,1,0
1995-09-13,12.988333333333337,2,0
1995-09-14,11.703333333333331,3,0
1995-09-15,11.476833333333332,4,0
1995-09-16,8.51725,5,1
1995-09-17,5.421041666666667,6,1
1995-09-18,8.454916666666668,0,0
1995-09-19,11.093166666666669,1,0
1995-09-20,14.25,2,0
1995-09-21,11.51875,3,0
1995-09-22,11.935416666666669,4,0
1995-09-23,10.717708333333333,5,1
1995-09-24,6.15725,6,1
1995-09-25,10.896416666666669,0,0
1995-09-26,11.8685,1,0
1995-09-27,11.722166666666666,2,0
1995-09-28,11.451625,3,0
1995-09-29,11.475250000000004,4,0
1995-09-30,14.833333333333334,5,1
1995-10-01,6.563625000000001,6,1
1995-10-02,11.881000000000002,0,0
1995-10-03,12.409208333333332,1,0
1995-10-04,13.560333333333334,2,0
1995-10-05,15.220833333333331,3,0
1995-10-06,15.395833333333334,4,0
1995-10-07,16.583333333333332,5,1
1995-10-08,16.270833333333332,6,1
1995-10-09,19.33333333333333,0,0
1995-10-10,17.206500000000002,1,0
1995-10-11,18.287125,2,0
1995-10-12,8.965833333333334,3,0
1995-10-13,4.850458333333333,4,0
1995-10-14,1.8677083333333333,5,1
1995-10-15,1.0738333333333336,6,1
1995-10-16,1.1896666666666669,0,0
1995-10-17,2.913,1,0
1995-10-18,3.0154166666666664,2,0
1995-10-19,6.45175,3,0
1995-10-20,9.47016666666667,4,0
1995-10-21,8.839916666666669,5,1
1995-10-22,6.584083333333335,6,1
1995-10-23,7.327583333333333,0,0
1995-10-24,6.129625000000001,1,0
1995-10-25,7.843416666666666,2,0
1995-10-26,8.510083333333332,3,0
1995-10-27,19.06445833333333,4,0
1995-10-28,17.420583333333337,5,1
1995-10-29,13.504166666666668,6,1
