fecha,precio,precio_pred
2014-11-20,162.33898466666673,170.8779652386416
2014-11-21,167.85672333333335,168.93799910614618
2014-11-22,162.87641233333332,167.00458310740868
2014-11-23,163.475022,165.07767699613993
2014-11-24,164.86193466666666,169.2747066339659
2014-11-25,167.82131466666672,167.3607005463962
2014-11-26,155.52189866666666,165.45308508508214
2014-11-27,159.08537299999998,163.55182098380385
2014-11-28,155.13086300000003,161.65686921760673
2014-11-29,155.76363899999998,159.76819100131894
2014-11-30,155.65633433333343,157.88574778807822
2014-12-01,173.5718149999999,162.1269671284956
2014-12-02,191.05650333333327,160.25687922668803
2014-12-03,195.5241809999999,158.39291210260018
2014-12-04,199.12985766666665,156.535028148055
2014-12-05,220.26721300000003,154.6831899859531
2014-12-06,221.17724233333328,152.83736046885292
2014-12-07,202.77248100000008,150.99750267755962
2014-12-08,209.036653,155.28104578035075
2014-12-09,199.31409800000003,153.4530215890702
2014-12-10,208.5001809999999,151.63085972151126
2014-12-11,177.19208333333327,149.8145241575277
2014-12-12,180.6923003333334,148.0039790982935
2014-12-13,189.01694466666663,146.19918896494312
2014-12-14,152.59006766666667,144.40011839721979
2014-12-15,177.76952466666663,148.72419811276046
2014-12-16,160.0125633333333,146.9364614632487
2014-12-17,170.30077900000003,145.1543395968561
2014-12-18,162.8103043333333,143.37779801441158
2014-12-19,155.5087806666667,141.60680242871894
2014-12-20,110.626795,139.8413187632543
2014-12-21,181.9196553333334,138.08131315087184
2014-12-22,194.8623316666668,142.44421779314513
2014-12-23,161.50995766666662,140.69506751657661
2014-12-24,161.14318566666668,138.95129493509498
2014-12-25,142.72206400000002,137.21286700628005
2014-12-26,140.7744563333333,135.47975089073577
2014-12-27,148.45901500000002,133.75191395084266
2014-12-28,155.96261866666663,132.02932374951814
2014-12-29,166.52404266666665,136.4294139096122
2014-12-30,159.13936599999994,134.71722067017097
2014-12-31,156.80717133333334,133.01017804898754
2015-01-01,178.60548199999994,131.30825439888042
2015-01-02,180.835229,129.61141826711935
2015-01-03,199.90581233333333,127.91963839423055
2015-01-04,237.91383800000008,126.2328837128092
2015-01-05,208.0808543333333,130.66858920696748
2015-01-06,213.011126,128.99179246864946
